epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6917,1.85513,3.09981,1.74214,0.00476,1,0.52318,0.19732,1.57679,3.15045,1.57764,0.00062,0.00062,0.00062
2,33.4191,1.85517,2.50085,1.74929,0.46762,0.09352,0.23106,0.08756,2.34202,3.33791,3.1692,0.00123505,0.00123505,0.00123505
3,47.1239,1.87084,2.32996,1.78253,0.08317,0.19959,0.02336,0.00811,3.31584,4.45841,3.57832,0.00182476,0.00182476,0.00182476
4,61.0906,1.88775,2.19361,1.7487,0.31636,0.27963,0.20105,0.06049,2.37756,3.59672,2.84381,0.0018812,0.0018812,0.0018812
5,72.1557,1.84228,2.09392,1.76943,0.01042,0.1,0.00188,0.00075,3.71305,8.6413,5.19351,0.0018416,0.0018416,0.0018416
6,85.4278,1.80239,1.94004,1.72981,0.66017,0.39025,0.44947,0.20862,1.91846,3.28926,2.07515,0.001802,0.001802,0.001802
7,99.0174,1.76447,1.85207,1.66129,0.62527,0.66949,0.58724,0.20898,2.02847,2.8643,2.05029,0.0017624,0.0017624,0.0017624
8,110.228,1.79074,1.76589,1.65857,0.66149,0.7,0.64292,0.27608,2.0657,2.31051,2.09956,0.0017228,0.0017228,0.0017228
9,123.128,1.77478,1.72396,1.66132,0.67792,0.84389,0.79269,0.2926,1.78844,2.05233,1.67254,0.0016832,0.0016832,0.0016832
10,136.678,1.7496,1.70203,1.6326,0.83011,0.7,0.69115,0.42555,1.63455,1.50734,1.68149,0.0016436,0.0016436,0.0016436
11,148.337,1.62404,1.68846,1.56111,0.85626,0.8,0.80993,0.43063,1.53971,1.30381,1.51857,0.001604,0.001604,0.001604
12,161.192,1.73454,1.62457,1.62699,0.8522,0.7,0.80508,0.45677,1.45779,1.26731,1.5148,0.0015644,0.0015644,0.0015644
13,177.838,1.70243,1.64158,1.60384,0.48408,0.8,0.69378,0.39354,1.70179,1.76175,1.61173,0.0015248,0.0015248,0.0015248
14,188.793,1.66526,1.4534,1.54551,0.931,0.7,0.855,0.48947,1.56004,1.18079,1.63988,0.0014852,0.0014852,0.0014852
15,202.307,1.65729,1.42495,1.56199,0.73547,0.9,0.84872,0.46784,1.61859,1.20562,1.53951,0.0014456,0.0014456,0.0014456
16,215.711,1.62528,1.38046,1.5613,0.94965,0.8,0.88667,0.49719,1.50007,1.20774,1.42268,0.001406,0.001406,0.001406
17,226.8,1.65855,1.43228,1.56191,0.94153,0.8,0.92945,0.57793,1.4432,1.1127,1.46566,0.0013664,0.0013664,0.0013664
18,239.479,1.61932,1.3628,1.55216,0.71122,0.98607,0.74695,0.46323,1.24989,1.11458,1.35613,0.0013268,0.0013268,0.0013268
19,253.692,1.54447,1.28387,1.48902,0.906,0.96602,0.96773,0.61648,1.27797,0.91104,1.36404,0.0012872,0.0012872,0.0012872
20,265.35,1.57728,1.27839,1.51779,0.97489,0.9,0.945,0.54215,1.47494,0.97128,1.47095,0.0012476,0.0012476,0.0012476
21,277.674,1.59646,1.34571,1.51121,1,0.87527,0.945,0.54237,1.31305,0.99458,1.36925,0.001208,0.001208,0.001208
22,291.746,1.58292,1.25743,1.50886,1,0.88067,0.91318,0.52719,1.45257,0.93632,1.4759,0.0011684,0.0011684,0.0011684
23,303.413,1.58409,1.21396,1.47734,0.96487,0.6,0.78674,0.47955,1.54248,1.0765,1.58431,0.0011288,0.0011288,0.0011288
24,315.722,1.54827,1.25759,1.46641,0.88911,0.9,0.88045,0.57309,1.43706,0.80003,1.66693,0.0010892,0.0010892,0.0010892
25,329.773,1.55762,1.22968,1.49966,0.70819,0.8,0.79904,0.44695,1.63707,1.14634,1.61512,0.0010496,0.0010496,0.0010496
26,341.385,1.59059,1.26812,1.5195,0.98749,0.9,0.93667,0.5418,1.56001,0.90057,1.56022,0.00101,0.00101,0.00101
27,354.043,1.5103,1.18844,1.44955,0.98384,0.9,0.90889,0.57085,1.41272,1.02324,1.40344,0.0009704,0.0009704,0.0009704
28,368.129,1.5027,1.14541,1.44617,0.98555,0.9,0.9575,0.57216,1.4299,0.92308,1.38751,0.0009308,0.0009308,0.0009308
29,379.939,1.47527,1.13065,1.43723,0.83502,0.7,0.7753,0.50657,1.31439,1.06827,1.36452,0.0008912,0.0008912,0.0008912
30,392.544,1.53794,1.15969,1.46072,0.90894,1,0.98591,0.58495,1.4461,0.82298,1.44694,0.0008516,0.0008516,0.0008516
31,406.646,1.48855,1.11458,1.42019,1,0.89294,0.935,0.56497,1.33702,0.86003,1.39593,0.000812,0.000812,0.000812
32,418.713,1.46723,1.10782,1.41465,0.89914,0.89226,0.93763,0.6134,1.37366,0.83529,1.3641,0.0007724,0.0007724,0.0007724
33,430.769,1.48098,1.07023,1.43996,0.81548,1,0.95833,0.66703,1.24176,0.76417,1.3125,0.0007328,0.0007328,0.0007328
34,444.651,1.47774,1.18547,1.43659,0.97263,0.9,0.94045,0.6014,1.32408,0.76366,1.33757,0.0006932,0.0006932,0.0006932
35,456.81,1.44128,1.06006,1.41098,0.89031,0.81279,0.94167,0.61791,1.27914,0.72528,1.35817,0.0006536,0.0006536,0.0006536
36,472.99,1.47758,1.08134,1.42851,0.97297,0.9,0.97833,0.63678,1.34216,0.67183,1.35149,0.000614,0.000614,0.000614
37,486.475,1.4018,1.02936,1.39939,0.8928,0.9,0.97833,0.60835,1.43911,0.79173,1.36881,0.0005744,0.0005744,0.0005744
38,500.374,1.32434,1.08492,1.31785,0.95839,0.9,0.97192,0.59204,1.38228,0.68463,1.35027,0.0005348,0.0005348,0.0005348
39,511.278,1.37874,1.01435,1.37134,0.985,0.9,0.96643,0.61953,1.29492,0.74919,1.30267,0.0004952,0.0004952,0.0004952
40,524.921,1.43589,1.06676,1.39767,0.80851,0.9,0.93237,0.5802,1.363,0.84453,1.32038,0.0004556,0.0004556,0.0004556
41,539.775,1.30293,0.90531,1.31866,0.95532,0.9,0.94763,0.56637,1.33967,0.88568,1.31525,0.000416,0.000416,0.000416
42,550.904,1.30825,0.93882,1.34814,0.91346,0.9,0.97833,0.62781,1.28336,0.74855,1.30535,0.0003764,0.0003764,0.0003764
43,562.838,1.29274,0.85411,1.32495,0.96082,0.9,0.97833,0.61104,1.3508,0.72395,1.35386,0.0003368,0.0003368,0.0003368
